year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1975.00,Mideast,79351.00,2331935.00,3940450.00,144271.00,1208607.00,7704614.00,2663460.00,177564.00,118376.00,151850.00,3111250.00,150768820.00,42815413.00,420500.00,0.00,924465.00,700.00,40000.00,194969898.00,0.00,0.00,2083.00,2083.00,14254.00,0.00,0.00,0.00,3227.00,0.00,0.00,0.00,0.00,3348710.00,71656.00,1661308.00,210815344.00,210887000.00,4023000000.00,1.10
1975.00,West. Hem,113336668.00,376866912.00,7120000.00,5572228.00,5404995.00,508300803.00,1246639.00,2076093.00,2792554.00,1640846.00,7756132.00,0.00,0.00,0.00,0.00,0.00,2000.00,346397.00,348397.00,0.00,0.00,1293282.00,1293282.00,0.00,744286.00,8827.00,500.00,285941.00,49389.00,400.00,1800.00,8466016.00,531153.00,35446166.00,5862582.00,533649508.00,560925800.00,4023000000.00,1.10
1980.00,Africa,38564080.00,63116530.00,15909839.00,11091270.00,58423306.00,187105025.00,0.00,0.00,0.00,203504.00,203504.00,10695000.00,0.00,0.00,0.00,0.00,1414940.00,84215261.00,96325201.00,0.00,0.00,24583.00,24583.00,494.00,1245049.00,30173.00,0.00,1007119.00,0.00,42620.00,6460.00,25760.00,65021806.00,1416658.00,3275548.00,354313342.00,355730000.00,4413000000.00,1.10
1980.00,Asia,32223395.00,70791416.00,2068207.00,5198237.00,44443249.00,154724504.00,0.00,0.00,0.00,96410.00,96410.00,91324970.00,2346390.00,0.00,0.00,0.00,144000.00,189711767.00,283527127.00,0.00,30400850.00,265217256.00,295618106.00,160982.00,534285058.00,14023819.00,89429228.00,1622880.00,3748065.00,3206898.00,5455525.00,388806341.00,95188371.00,507413215.00,10074959.00,1879968273.00,2313547024.00,4413000000.00,1.10
1980.00,Europe,84545280.00,259260904.00,110595090.00,27691350.00,14947256.00,497039880.00,0.00,0.00,0.00,4527066.00,4527066.00,0.00,0.00,0.00,0.00,0.00,14540.00,40597297.00,40611837.00,0.00,0.00,1064453.00,1064453.00,485.00,452955.00,210000.00,0.00,69093.00,0.00,7765.00,4502.00,62972.00,471016.00,192888938.00,12668376.00,557190400.00,750079338.00,4413000000.00,1.10
1980.00,Mideast,181143.00,2429312.00,4084171.00,193984.00,3913986.00,10802596.00,2954430.00,196962.00,131308.00,125703.00,3408403.00,173218873.00,48209839.00,668250.00,0.00,1148480.00,1750.00,206830.00,223454022.00,0.00,0.00,9566.00,9566.00,30500.00,31300.00,3800.00,0.00,355901.00,0.00,0.00,0.00,3000.00,3371320.00,235999.00,2292593.00,243763001.00,243999000.00,4413000000.00,1.10
1980.00,West. Hem,123448293.00,403236567.00,5245120.00,6918519.00,3558105.00,542406604.00,1346562.00,2242154.00,3022479.00,1760417.00,8371612.00,2565521.00,271683.00,0.00,0.00,0.00,9255.00,374831.00,3221290.00,0.00,0.00,1685408.00,1685408.00,0.00,1580032.00,9064.00,0.00,150056.00,127687.00,800.00,3600.00,9519133.00,1576665.00,35846456.00,6719573.00,575371524.00,602026000.00,4413000000.00,1.10
1985.00,Africa,51004398.00,73386870.00,19054140.00,17519220.00,67694251.00,228658879.00,0.00,0.00,0.00,164828.00,164828.00,14060500.00,0.00,0.00,0.00,0.00,0.00,111832184.00,125892684.00,0.00,0.00,72574.00,72574.00,607.00,1463736.00,37537.00,0.00,1074228.00,0.00,49895.00,9691.00,43652.00,69685451.00,2149016.00,3141222.00,430294984.00,432444000.00,4834000000.00,1.10
1985.00,Asia,40205810.00,79653394.00,2656902.00,5229835.00,47278573.00,175024514.00,0.00,0.00,0.00,100490.00,100490.00,101175272.00,2038550.00,0.00,0.00,0.00,0.00,210059512.00,313273334.00,0.00,36232325.00,298230177.00,334462502.00,262761.00,598009426.00,14651868.00,92520741.00,1978767.00,4625986.00,3508357.00,1153085.00,425483823.00,90948268.00,542261654.00,5394112.00,2061398034.00,2525823952.00,4834000000.00,1.10
1985.00,Europe,82115850.00,260592119.00,109218297.00,26909075.00,17622140.00,496457481.00,0.00,0.00,0.00,4364409.00,4364409.00,0.00,0.00,0.00,0.00,0.00,0.00,42150125.00,42150125.00,0.00,0.00,1086688.00,1086688.00,523.00,474973.00,217500.00,0.00,72559.00,0.00,9648.00,6251.00,89957.00,713756.00,210577941.00,13254594.00,558898464.00,769476405.00,4834000000.00,1.10
